sample_index,micros,ax,ay,az
64,2554334,61,59,4374
65,2554727,61,59,4374
66,2555127,32,48,4382
67,2555520,32,48,4382
68,2555913,32,48,4382
69,2556318,17,42,4419
70,2556711,17,42,4419
71,2557110,32,33,4371
72,2557507,32,33,4371
73,2557900,32,33,4371
74,2558295,43,33,4320
75,2558694,43,33,4320
76,2559087,19,53,4343
77,2559482,19,53,4343
78,2559875,19,53,4343
79,2560273,6,69,4342
80,2560664,6,69,4342
81,2561074,36,61,4333
82,2561456,36,61,4333
83,2561849,36,61,4333
84,2562242,71,45,4384
85,2562642,71,45,4384
86,2563037,71,45,4384
87,2563424,66,46,4425
88,2563815,66,46,4425
89,2564214,61,49,4372
90,2564600,61,49,4372
91,2565001,61,49,4372
92,2565393,82,18,4366
93,2565781,82,18,4366
94,2566175,65,15,4383
95,2566574,65,15,4383
96,2566972,65,15,4383
97,2567371,51,47,4369
98,2567751,51,47,4369
99,2568151,43,51,4386
100,2568544,43,51,4386
101,2568948,43,51,4386
102,2569342,32,23,4374
103,2569736,32,23,4374
104,2570128,32,21,4380
105,2570529,32,21,4380
106,2570922,32,21,4380
107,2571327,33,58,4407
108,2571714,33,58,4407
109,2572114,40,59,4383
110,2572509,40,59,4383
111,2572902,40,59,4383
112,2573298,31,42,4368
113,2573697,31,42,4368
114,2574090,7,37,4388
115,2574483,7,37,4388
116,2574877,7,37,4388
117,2575275,-17,48,4374
118,2575684,-17,48,4374
119,2576092,8,32,4391
120,2576473,8,32,4391
121,2576872,8,32,4391
122,2577266,51,29,4385
123,2577666,51,29,4385
124,2578062,44,51,4365
125,2578457,44,51,4365
126,2578844,44,51,4365
127,2579243,22,68,4386
128,2579636,22,68,4386
129,2580040,39,68,4369
130,2580426,39,68,4369
131,2580823,39,68,4369
132,2581216,39,51,4367
133,2581615,39,51,4367
134,2582013,39,51,4367
135,2582405,31,39,4367
136,2582796,31,39,4367
137,2583194,40,31,4359
138,2583587,40,31,4359
139,2583990,40,31,4359
140,2584383,36,43,4382
141,2584771,36,43,4382
142,2585164,19,56,4376
143,2585564,19,56,4376
144,2585962,19,56,4376
145,2586361,13,61,4406
146,2586749,13,61,4406
147,2587141,35,45,4419
148,2587538,35,45,4419
149,2587938,35,45,4419
150,2588335,50,61,4370
151,2588729,50,61,4370
152,2589123,62,90,4364
153,2589523,62,90,4364
154,2589917,62,90,4364
155,2590320,59,72,4346
156,2590708,59,72,4346
157,2591108,14,56,4359
158,2591504,14,56,4359
159,2591896,14,56,4359
160,2592292,18,37,4383
161,2592691,18,37,4383
162,2593085,48,44,4371
163,2593480,48,44,4371
164,2593873,48,44,4371
165,2594271,22,59,4401
166,2594665,22,59,4401
167,2595068,14,37,4401
168,2595457,14,37,4401
169,2595850,14,37,4401
170,2596244,5,31,4345
171,2596643,5,31,4345
172,2597040,-3,41,4339
173,2597439,-3,41,4339
174,2597850,-3,41,4339
175,2598257,2,48,4354
176,2598644,2,48,4354
177,2599044,10,45,4326
178,2599430,10,45,4326
179,2599832,10,45,4326
180,2600220,19,43,4313
181,2600619,19,43,4313
182,2601017,19,43,4313
183,2601408,32,37,4357
184,2601798,32,37,4357
185,2602197,29,27,4388
186,2602590,29,27,4388
187,2602998,29,27,4388
188,2603385,12,40,4378
189,2603772,12,40,4378
190,2604166,22,68,4392
191,2604568,22,68,4392
192,2604967,22,68,4392
193,2605367,34,55,4394
194,2605747,34,55,4394
195,2606147,22,31,4364
196,2606541,22,31,4364
197,2606940,22,31,4364
198,2607336,22,32,4352
199,2607729,22,32,4352
200,2608125,39,49,4364
201,2608525,39,49,4364
202,2608918,39,49,4364
203,2609322,23,57,4383
204,2609709,23,57,4383
205,2610108,29,40,4351
206,2610504,29,40,4351
207,2610896,29,40,4351
208,2611293,37,36,4372
209,2611698,37,36,4372
210,2612085,38,55,4412
211,2612479,38,55,4412
212,2612872,38,55,4412
213,2613272,34,54,4399
214,2613666,34,54,4399
215,2614075,25,25,4378
216,2614459,25,25,4378
217,2614851,25,25,4378
218,2615244,48,27,4367
219,2615651,48,27,4367
