row,seconds,esp32_index,micros,ax,ay,az
0,0.000000,76,283599896,-114,91,4383
1,0.000413,77,283600309,-114,91,4383
2,0.000808,78,283600704,-121,81,4366
3,0.001212,79,283601108,-121,81,4366
4,0.001609,80,283601505,-121,81,4366
5,0.002011,81,283601907,-109,53,4362
6,0.002417,82,283602313,-109,53,4362
7,0.002823,83,283602719,-137,53,4399
8,0.003218,84,283603114,-137,53,4399
9,0.003624,85,283603520,-137,53,4399
10,0.004026,86,283603922,-125,56,4409
11,0.004438,87,283604334,-125,56,4409
12,0.004839,88,283604735,-98,55,4390
13,0.005235,89,283605131,-98,55,4390
14,0.005639,90,283605535,-98,55,4390
15,0.006058,91,283605954,-107,64,4389
16,0.006460,92,283606356,-107,64,4389
17,0.006868,93,283606764,-98,57,4376
18,0.007264,94,283607160,-98,57,4376
19,0.007672,95,283607568,-98,57,4376
20,0.008084,96,283607980,-106,53,4358
21,0.008479,97,283608375,-106,53,4358
22,0.008890,98,283608786,-135,44,4368
23,0.009297,99,283609193,-135,44,4368
24,0.009699,100,283609595,-135,44,4368
25,0.010111,101,283610007,-129,26,4400
26,0.010501,102,283610397,-129,26,4400
27,0.010915,103,283610811,-115,38,4384
28,0.011317,104,283611213,-115,38,4384
29,0.011726,105,283611622,-115,38,4384
30,0.012126,106,283612022,-118,60,4373
31,0.012529,107,283612425,-118,60,4373
32,0.012932,108,283612828,-119,64,4401
33,0.013340,109,283613236,-119,64,4401
34,0.013742,110,283613638,-119,64,4401
35,0.014138,111,283614034,-102,67,4386
36,0.014527,112,283614423,-102,67,4386
37,0.014935,113,283614831,-103,54,4359
38,0.015337,114,283615233,-103,54,4359
39,0.015744,115,283615640,-103,54,4359
40,0.016141,116,283616037,-94,53,4382
41,0.016554,117,283616450,-94,53,4382
42,0.016943,118,283616839,-98,87,4366
43,0.017354,119,283617250,-98,87,4366
44,0.017750,120,283617646,-98,87,4366
45,0.018148,121,283618044,-107,82,4323
46,0.018538,122,283618434,-107,82,4323
47,0.018942,123,283618838,-122,80,4362
48,0.019329,124,283619225,-122,80,4362
49,0.019737,125,283619633,-122,80,4362
50,0.020137,126,283620033,-145,82,4386
51,0.020540,127,283620436,-145,82,4386
52,0.020943,128,283620839,-114,69,4351
53,0.021351,129,283621247,-114,69,4351
54,0.021753,130,283621649,-114,69,4351
55,0.022149,131,283622045,-116,56,4359
56,0.022544,132,283622440,-116,56,4359
57,0.022963,133,283622859,-113,45,4389
58,0.023365,134,283623261,-113,45,4389
59,0.023773,135,283623669,-113,45,4389
60,0.024164,136,283624060,-108,53,4374
61,0.024570,137,283624466,-108,53,4374
62,0.024965,138,283624861,-108,61,4351
63,0.025379,139,283625275,-108,61,4351
64,0.025782,140,283625678,-109,80,4350
65,0.026176,141,283626072,-109,80,4350
66,0.026582,142,283626478,-109,80,4350
67,0.026991,143,283626887,-132,73,4344
68,0.027392,144,283627288,-132,73,4344
69,0.027791,145,283627687,-115,66,4353
70,0.028180,146,283628076,-115,66,4353
71,0.028593,147,283628489,-115,66,4353
72,0.028988,148,283628884,-95,74,4378
73,0.029407,149,283629303,-95,74,4378
74,0.029808,150,283629704,-95,61,4377
75,0.030205,151,283630101,-95,61,4377
76,0.030607,152,283630503,-95,61,4377
77,0.031008,153,283630904,-91,51,4356
78,0.031413,154,283631309,-91,51,4356
79,0.031821,155,283631717,-86,46,4352
80,0.032217,156,283632113,-86,46,4352
81,0.032616,157,283632512,-86,46,4352
82,0.033020,158,283632916,-88,40,4377
83,0.033433,159,283633329,-88,40,4377
84,0.033828,160,283633724,-88,40,4379
85,0.034230,161,283634126,-88,40,4379
86,0.034630,162,283634526,-88,40,4379
87,0.035039,163,283634935,-106,62,4347
88,0.035444,164,283635340,-106,62,4347
89,0.035858,165,283635754,-114,79,4334
90,0.036255,166,283636151,-114,79,4334
91,0.036662,167,283636558,-114,79,4334
92,0.037069,168,283636965,-93,57,4327
93,0.037476,169,283637372,-93,57,4327
94,0.037878,170,283637774,-82,36,4320
95,0.038286,171,283638182,-82,36,4320
96,0.038691,172,283638587,-82,36,4320
97,0.039103,173,283638999,-98,50,4355
98,0.039493,174,283639389,-98,50,4355
99,0.039895,175,283639791,-108,55,4356
100,0.040292,176,283640188,-108,55,4356
101,0.040700,177,283640596,-108,55,4356
102,0.041107,178,283641003,-100,52,4357
103,0.041509,179,283641405,-100,52,4357
104,0.041912,180,283641808,-102,52,4363
105,0.042320,181,283642216,-102,52,4363
106,0.042722,182,283642618,-102,52,4363
107,0.043130,183,283643026,-94,65,4342
108,0.043519,184,283643415,-94,65,4342
109,0.043933,185,283643829,-88,81,4375
110,0.044320,186,283644216,-88,81,4375
111,0.044730,187,283644626,-88,81,4375
112,0.045136,188,283645032,-95,50,4382
113,0.045531,189,283645427,-95,50,4382
114,0.045935,190,283645831,-92,40,4371
115,0.046337,191,283646233,-92,40,4371
116,0.046738,192,283646634,-92,40,4371
117,0.047142,193,283647038,-85,47,4377
118,0.047533,194,283647429,-85,47,4377
119,0.047930,195,283647826,-75,42,4369
120,0.048316,196,283648212,-75,42,4369
121,0.048725,197,283648621,-75,42,4369
122,0.049112,198,283649008,-71,47,4358
123,0.049510,199,283649406,-71,47,4358
124,0.049912,200,283649808,-77,39,4360
125,0.050320,201,283650216,-77,39,4360
126,0.050724,202,283650620,-77,39,4360
127,0.051129,203,283651025,-83,56,4375
128,0.051526,204,283651422,-83,56,4375
129,0.051934,205,283651830,-77,60,4405
130,0.052336,206,283652232,-77,60,4405
131,0.052739,207,283652635,-77,60,4405
132,0.053138,208,283653034,-92,62,4416
133,0.053539,209,283653435,-92,62,4416
134,0.053934,210,283653830,-82,88,4361
135,0.054342,211,283654238,-82,88,4361
136,0.054744,212,283654640,-82,88,4361
137,0.055145,213,283655041,-80,84,4332
138,0.055543,214,283655439,-80,84,4332
139,0.055950,215,283655846,-110,54,4350
140,0.056361,216,283656257,-110,54,4350
141,0.056770,217,283656666,-110,54,4350
142,0.057162,218,283657058,-111,51,4366
143,0.057561,219,283657457,-111,51,4366
144,0.057930,220,283657826,-104,55,4382
145,0.058342,221,283658238,-104,55,4382
146,0.058735,222,283658631,-104,55,4382
147,0.059128,223,283659024,-103,63,4361
148,0.059531,224,283659427,-103,63,4361
149,0.059934,225,283659830,-116,85,4332
150,0.060342,226,283660238,-116,85,4332
151,0.060745,227,283660641,-116,85,4332
152,0.061151,228,283661047,-110,78,4338
153,0.061547,229,283661443,-110,78,4338
154,0.061956,230,283661852,-85,60,4382
155,0.062358,231,283662254,-85,60,4382
156,0.062766,232,283662662,-85,60,4382
157,0.063158,233,283663054,-85,58,4381
158,0.063561,234,283663457,-85,58,4381
159,0.063930,235,283663826,-104,57,4362
160,0.064327,236,283664223,-104,57,4362
161,0.064703,237,283664599,-104,57,4362
162,0.065102,238,283664998,-111,40,4392
163,0.065503,239,283665399,-111,40,4392
164,0.065886,240,283665782,-85,44,4394
165,0.066261,241,283666157,-85,44,4394
166,0.066675,242,283666571,-85,44,4394
167,0.067087,243,283666983,-78,38,4395
168,0.067489,244,283667385,-78,38,4395
169,0.067891,245,283667787,-83,41,4383
170,0.068294,246,283668190,-83,41,4383
171,0.068695,247,283668591,-83,41,4383
172,0.069096,248,283668992,-101,73,4387
173,0.069504,249,283669400,-101,73,4387
174,0.069907,250,283669803,-109,68,4375
175,0.070314,251,283670210,-109,68,4375
176,0.070717,252,283670613,-109,68,4375
177,0.071122,253,283671018,-83,35,4384
178,0.071510,254,283671406,-83,35,4384
179,0.071925,255,283671821,-108,53,4391
180,0.072320,256,283672216,-108,53,4391
181,0.072734,257,283672630,-108,53,4391
182,0.073133,258,283673029,-124,64,4345
183,0.073536,259,283673432,-124,64,4345
184,0.073932,260,283673828,-115,46,4331
185,0.074347,261,283674243,-115,46,4331
186,0.074742,262,283674638,-115,46,4331
187,0.075153,263,283675049,-105,49,4347
188,0.075542,264,283675438,-105,49,4347
189,0.075947,265,283675843,-101,57,4375
190,0.076357,266,283676253,-101,57,4375
191,0.076766,267,283676662,-101,57,4375
192,0.077158,268,283677054,-115,71,4381
193,0.077566,269,283677462,-115,71,4381
194,0.077975,270,283677871,-112,56,4364
195,0.078369,271,283678265,-112,56,4364
196,0.078768,272,283678664,-91,46,4350
197,0.079171,273,283679067,-91,46,4350
198,0.079572,274,283679468,-91,46,4350
199,0.079986,275,283679882,-76,48,4361
200,0.080388,276,283680284,-76,48,4361
201,0.080790,277,283680686,-74,66,4391
202,0.081178,278,283681074,-74,66,4391
203,0.081592,279,283681488,-74,66,4391
204,0.081985,280,283681881,-110,61,4386
205,0.082400,281,283682296,-110,61,4386
206,0.082796,282,283682692,-131,37,4327
207,0.083200,283,283683096,-131,37,4327
208,0.083590,284,283683486,-131,37,4327
209,0.083998,285,283683894,-112,41,4335
210,0.084404,286,283684300,-112,41,4335
211,0.084807,287,283684703,-93,61,4399
212,0.085205,288,283685101,-93,61,4399
213,0.085613,289,283685509,-93,61,4399
214,0.086007,290,283685903,-79,71,4377
215,0.086420,291,283686316,-79,71,4377
216,0.086828,292,283686724,-81,55,4357
217,0.087224,293,283687120,-81,55,4357
218,0.087627,294,283687523,-81,55,4357
219,0.088038,295,283687934,-79,60,4387
220,0.088438,296,283688334,-79,60,4387
221,0.088852,297,283688748,-74,67,4406
222,0.089241,298,283689137,-74,67,4406
223,0.089653,299,283689549,-74,67,4406
224,0.090060,300,283689956,-83,70,4412
225,0.090470,301,283690366,-83,70,4412
226,0.090865,302,283690761,-79,69,4391
227,0.091272,303,283691168,-79,69,4391
228,0.091682,304,283691578,-79,69,4391
229,0.092095,305,283691991,-95,49,4376
230,0.092491,306,283692387,-95,49,4376
231,0.092891,307,283692787,-118,44,4386
232,0.093301,308,283693197,-118,44,4386
233,0.093710,309,283693606,-118,44,4386
234,0.094101,310,283693997,-97,52,4389
235,0.094504,311,283694400,-97,52,4389
236,0.094900,312,283694796,-97,64,4369
237,0.095308,313,283695204,-97,64,4369
238,0.095717,314,283695613,-97,64,4369
239,0.096129,315,283696025,-117,74,4359
240,0.096518,316,283696414,-117,74,4359
241,0.096932,317,283696828,-131,46,4352
242,0.097336,318,283697232,-131,46,4352
243,0.097737,319,283697633,-131,46,4352
244,0.098143,320,283698039,-121,27,4345
245,0.098546,321,283698442,-121,27,4345
246,0.098941,322,283698837,-126,57,4348
247,0.099349,323,283699245,-126,57,4348
248,0.099760,324,283699656,-126,57,4348
249,0.100158,325,283700054,-120,69,4357
250,0.100565,326,283700461,-120,69,4357
251,0.100974,327,283700870,-91,40,4368
252,0.101376,328,283701272,-91,40,4368
253,0.101784,329,283701680,-102,26,4372
254,0.102174,330,283702070,-102,26,4372
255,0.102583,331,283702479,-102,26,4372
256,0.102985,332,283702881,-93,51,4375
257,0.103389,333,283703285,-93,51,4375
258,0.103758,334,283703654,-93,51,4375
259,0.104132,335,283704028,-75,68,4365
260,0.104519,336,283704415,-75,68,4365
261,0.104898,337,283704794,-71,68,4355
262,0.105287,338,283705183,-71,68,4355
263,0.105666,339,283705562,-71,68,4355
264,0.106038,340,283705934,-53,51,4344
265,0.106418,341,283706314,-53,51,4344
266,0.106787,342,283706683,-53,66,4325
267,0.107164,343,283707060,-53,66,4325
268,0.107533,344,283707429,-53,66,4325
269,0.107909,345,283707805,-78,87,4331
270,0.108291,346,283708187,-78,87,4331
271,0.108661,347,283708557,-78,87,4331
272,0.109036,348,283708932,-106,72,4365
273,0.109416,349,283709312,-106,72,4365
274,0.109805,350,283709701,-117,71,4387
275,0.110174,351,283710070,-117,71,4387
276,0.110560,352,283710456,-117,71,4387
277,0.110935,353,283710831,-138,70,4386
278,0.111317,354,283711213,-138,70,4386
279,0.111692,355,283711588,-138,70,4386
280,0.112067,356,283711963,-140,72,4376
281,0.112459,357,283712355,-140,72,4376
282,0.112828,358,283712724,-87,78,4384
283,0.113206,359,283713102,-87,78,4384
284,0.113583,360,283713479,-87,78,4384
285,0.113952,361,283713848,-73,60,4384
286,0.114327,362,283714223,-73,60,4384
287,0.114711,363,283714607,-73,60,4384
288,0.115108,364,283715004,-93,31,4363
289,0.115511,365,283715407,-93,31,4363
