row,seconds,esp32_index,micros,ax,ay,az
0,0.000000,385,1999994,-4735.25,-664.39,20.76000000000022
1,0.001000,386,2000994,-1406.25,-390.39,-1312.2399999999998
2,0.002000,387,2001994,1666.75,-195.39,-2013.2399999999998
3,0.003000,388,2002994,1460.75,-500.39,-1658.2399999999998
4,0.004000,389,2003994,-1920.25,-175.39,-1469.2399999999998
5,0.005000,390,2004994,-5423.25,-40.39,62.76000000000022
6,0.006000,391,2005994,-6127.25,-412.39,2370.76
7,0.007000,392,2006994,-4821.25,-122.39,3284.76
8,0.007999,393,2007993,-3510.25,247.61,3629.76
9,0.009000,394,2008994,2670.75,766.61,3280.76
10,0.010000,395,2009994,6628.75,1506.61,980.7600000000002
11,0.011000,396,2010994,8339.75,849.61,419.7600000000002
12,0.012000,397,2011994,9390.75,302.61,880.7600000000002
13,0.013000,398,2012994,6800.75,-223.39,-500.2399999999998
14,0.014000,399,2013994,1905.75,-523.39,-2149.24
15,0.015000,400,2014994,-2400.25,-428.39,-2973.24
16,0.016000,401,2015994,-1823.25,-751.39,-3381.24
17,0.017000,402,2016994,-354.25,-846.39,-3260.24
18,0.018000,403,2017994,534.75,-701.39,-2476.24
19,0.019000,404,2018994,163.75,-808.39,-1517.2399999999998
20,0.020000,405,2019994,-888.25,-316.39,-786.2399999999998
21,0.021000,406,2020994,-2062.25,-39.39,1449.7600000000002
22,0.028416,407,2028410,-11428.25,266.61,-538.2399999999998
23,0.028786,408,2028780,-11428.25,266.61,-538.2399999999998
24,0.029171,409,2029165,-5885.25,-94.39,-1509.2399999999998
25,0.029589,410,2029583,-5885.25,-94.39,-1509.2399999999998
26,0.030010,411,2030004,4881.75,-428.39,-1764.2399999999998
27,0.030412,412,2030406,4881.75,-428.39,-1764.2399999999998
28,0.030799,413,2030793,4881.75,-428.39,-1764.2399999999998
29,0.031204,414,2031198,10658.75,-3.3900000000000006,-3733.24
30,0.031599,415,2031593,10658.75,-3.3900000000000006,-3733.24
31,0.031998,416,2031992,12224.75,-268.39,-2707.24
32,0.032400,417,2032394,12224.75,-268.39,-2707.24
33,0.033000,418,2032994,7791.75,-108.39,-713.2399999999998
34,0.034000,419,2033994,2115.75,0.6099999999999994,-627.2399999999998
35,0.035000,420,2034994,-3403.25,-250.39,-245.23999999999978
36,0.036000,421,2035994,-6350.25,-434.39,65.76000000000022
37,0.037000,422,2036994,-3882.25,-425.39,-506.2399999999998
38,0.038000,423,2037994,585.75,-381.39,-1559.2399999999998
39,0.038999,424,2038993,2102.75,-304.39,-1940.2399999999998
40,0.040000,425,2039994,681.75,-212.39,-1721.2399999999998
41,0.041000,426,2040994,-3640.25,-84.39,-844.2399999999998
42,0.042000,427,2041994,-6712.25,-85.39,1185.7600000000002
43,0.043000,428,2042994,-5412.25,-432.39,2950.76
44,0.044000,429,2043994,-3669.25,20.61,3531.76
45,0.044999,430,2044993,-574.25,388.61,3684.76
46,0.046000,431,2045994,2137.75,1067.61,1987.7600000000002
47,0.047000,432,2046994,7283.75,1234.61,499.7600000000002
48,0.048000,433,2047994,10985.75,521.61,842.7600000000002
49,0.049000,434,2048994,8336.75,66.61,102.76000000000022
