sample_index,micros,ax,ay,az
291517,293132028,-51,56,4405
291518,293133029,-59,53,4398
291519,293134028,-46,41,4388
291520,293135028,-55,36,4373
291521,293136028,-60,66,4363
291522,293137028,-53,68,4386
291523,293138028,-50,44,4368
291524,293139029,-52,42,4364
291525,293140028,-44,51,4391
291526,293141029,-47,56,4388
291527,293142029,-49,49,4381
291528,293143029,-47,51,4393
291529,293144029,-58,53,4424
291530,293145029,-51,54,4439
291531,293146029,-48,52,4402
291532,293147029,-60,34,4367
291533,293148028,-71,37,4328
291534,293149029,-64,55,4310
291535,293150029,-51,59,4352
291536,293151029,-62,48,4357
291537,293152029,-72,41,4365
291538,293153028,-66,45,4358
291539,293154028,-32,42,4341
291540,293155029,-27,49,4360
291541,293156029,-41,64,4378
291542,293157029,-31,50,4365
291543,293158029,-36,48,4356
291544,293159029,-39,49,4388
291545,293160029,-37,51,4388
291546,293161028,-59,50,4363
291547,293162028,-66,62,4349
291548,293163029,-52,85,4372
291549,293164029,-45,75,4411
291550,293165029,-41,68,4408
291551,293166029,-41,66,4365
291552,293167029,-34,55,4356
291553,293168029,-37,51,4371
291554,293169029,-49,64,4354
291555,293170028,-65,67,4352
291556,293171029,-74,37,4358
291557,293172028,-52,23,4345
291558,293173029,-54,29,4365
291559,293174029,-72,41,4388
291560,293175029,-74,59,4364
291561,293176029,-70,54,4349
291562,293177029,-61,57,4364
291563,293178029,-37,56,4381
291564,293179029,-35,54,4376
291565,293180029,-52,66,4385
291566,293181028,-23,62,4380
291567,293182028,-28,57,4377
291568,293183028,-53,39,4417
291569,293184029,-59,33,4424
291570,293185029,-56,38,4401
291571,293186028,-46,36,4396
291572,293187029,-50,59,4368
291573,293188028,-58,54,4344
291574,293189028,-59,49,4346
291575,293190029,-56,62,4350
291576,293191029,-46,50,4353
291577,293192028,-40,56,4337
291578,293193029,-52,74,4336
291579,293194029,-47,77,4334
291580,293195029,-61,62,4320
291581,293196028,-58,48,4340
291582,293197029,-34,50,4363
291583,293198028,-45,51,4351
291584,293199029,-54,62,4370
291585,293200029,-52,63,4397
291586,293201029,-39,58,4381
291587,293202029,-50,66,4377
291588,293203029,-57,63,4398
291589,293204028,-45,51,4414
291590,293205029,-46,45,4408
291591,293206029,-60,56,4414
291592,293207029,-49,75,4407
291593,293208029,-33,71,4370
291594,293209029,-48,63,4340
291595,293210028,-51,50,4319
291596,293211028,-52,49,4340
291597,293212029,-51,45,4372
291598,293213028,-43,42,4372
291599,293214029,-56,38,4376
291600,293215029,-63,38,4375
291601,293216029,-42,46,4349
291602,293217029,-31,47,4369
291603,293218029,-40,63,4394
291604,293219029,-61,73,4386
291605,293220028,-67,69,4377
291606,293221029,-57,70,4370
291607,293222028,-64,76,4378
291608,293223029,-77,63,4354
291609,293224029,-67,49,4339
291610,293225029,-52,41,4375
291611,293226029,-48,52,4402
291612,293227029,-28,64,4385
291613,293228029,-25,68,4367
291614,293229029,-29,60,4342
291615,293230029,-15,43,4335
291616,293231029,-26,32,4359
291617,293232029,-43,30,4357
291618,293233028,-36,33,4378
291619,293234029,-49,30,4386
291620,293235029,-56,43,4362
