row,seconds,esp32_index,micros,ax,ay,az
1,0.000000,8702,10316993,-114,48,4386
2,0.000999,8703,10317992,-103,43,4397
3,0.001999,8704,10318992,-92,44,4418
4,0.003000,8705,10319993,-109,43,4377
5,0.004000,8706,10320993,-140,40,4366
6,0.004999,8707,10321992,-141,48,4378
7,0.005999,8708,10322992,-117,54,4379
8,0.007000,8709,10323993,-115,54,4399
9,0.008000,8710,10324993,-100,43,4435
10,0.009000,8711,10325993,-91,46,4440
11,0.010000,8712,10326993,-98,57,4399
12,0.011000,8713,10327993,-87,46,4382
13,0.011999,8714,10328992,-71,42,4365
14,0.012999,8715,10329992,-56,44,4361
15,0.013999,8716,10330992,-67,40,4357
16,0.014999,8717,10331992,-61,54,4322
17,0.016000,8718,10332993,-38,53,4306
18,0.017000,8719,10333993,-65,34,4280
19,0.018000,8720,10334993,-101,15,4268
20,0.019000,8721,10335993,-116,9,4281
21,0.019999,8722,10336992,-130,9,4270
22,0.021000,8723,10337993,-133,-1,4303
23,0.022000,8724,10338993,-132,-2,4342
24,0.023000,8725,10339993,-115,2,4368
25,0.024000,8726,10340993,-108,28,4422
26,0.024999,8727,10341992,-130,52,4469
27,0.025999,8728,10342992,-138,82,4486
28,0.027000,8729,10343993,-121,105,4486
29,0.028000,8730,10344993,-110,98,4477
30,0.029000,8731,10345993,-135,82,4477
31,0.029999,8732,10346992,-170,71,4485
32,0.031000,8733,10347993,-185,77,4506
33,0.032000,8734,10348993,-205,78,4524
34,0.032999,8735,10349992,-220,66,4489
35,0.034000,8736,10350993,-222,38,4484
36,0.035000,8737,10351993,-207,23,4460
37,0.035999,8738,10352992,-197,27,4420
38,0.037000,8739,10353993,-167,36,4404
39,0.038000,8740,10354993,-145,41,4384
40,0.039000,8741,10355993,-157,49,4398
41,0.039999,8742,10356992,-153,55,4385
42,0.041000,8743,10357993,-157,36,4394
43,0.042000,8744,10358993,-183,32,4439
44,0.043000,8745,10359993,-198,49,4420
45,0.044000,8746,10360993,-212,40,4442
46,0.044999,8747,10361992,-217,24,4479
47,0.046000,8748,10362993,-181,27,4451
48,0.047000,8749,10363993,-155,41,4449
49,0.048000,8750,10364993,-139,39,4452
50,0.048999,8751,10365992,-105,29,4439
51,0.049999,8752,10366992,-95,28,4420
52,0.051000,8753,10367993,-105,37,4395
53,0.051999,8754,10368992,-84,39,4407
54,0.052999,8755,10369992,-75,27,4417
55,0.054000,8756,10370993,-97,36,4387
56,0.055000,8757,10371993,-116,43,4363
57,0.056000,8758,10372993,-97,23,4347
58,0.056999,8759,10373992,-75,-7,4306
59,0.058000,8760,10374993,-93,-12,4266
60,0.059000,8761,10375993,-82,4,4288
61,0.060000,8762,10376993,-50,-7,4277
62,0.061000,8763,10377993,-34,-8,4246
63,0.062000,8764,10378993,-17,17,4225
64,0.062999,8765,10379992,-24,23,4205
65,0.064000,8766,10380993,-44,18,4210
66,0.065000,8767,10381993,-54,22,4211
67,0.066000,8768,10382993,-76,18,4236
68,0.067000,8769,10383993,-105,13,4252
69,0.068000,8770,10384993,-106,14,4285
70,0.069000,8771,10385993,-103,15,4325
71,0.070000,8772,10386993,-90,59,4366
72,0.070999,8773,10387992,-84,65,4392
73,0.072000,8774,10388993,-95,49,4389
74,0.073000,8775,10389993,-111,77,4413
75,0.074000,8776,10390993,-116,80,4483
76,0.075000,8777,10391993,-127,63,4535
77,0.076000,8778,10392993,-150,50,4502
78,0.077000,8779,10393993,-173,56,4482
79,0.078000,8780,10394993,-204,57,4474
80,0.079000,8781,10395993,-193,28,4463
81,0.080000,8782,10396993,-206,36,4448
82,0.080999,8783,10397992,-224,33,4427
83,0.081999,8784,10398992,-225,26,4421
84,0.083000,8785,10399993,-227,26,4401
85,0.084000,8786,10400993,-214,22,4409
86,0.084999,8787,10401992,-209,33,4414
87,0.085999,8788,10402992,-213,26,4404
88,0.087000,8789,10403993,-205,25,4413
89,0.088000,8790,10404993,-193,42,4436
90,0.088999,8791,10405992,-184,60,4461
91,0.089999,8792,10406992,-170,40,4461
92,0.090999,8793,10407992,-156,39,4431
93,0.092000,8794,10408993,-142,76,4429
94,0.092999,8795,10409992,-151,81,4457
95,0.094000,8796,10410993,-149,64,4469
96,0.095000,8797,10411993,-153,55,4464
97,0.096000,8798,10412993,-143,44,4474
98,0.097000,8799,10413993,-129,51,4477
99,0.097999,8800,10414992,-125,68,4445
100,0.099000,8801,10415993,-110,62,4432
101,0.100000,8802,10416993,-97,45,4416
102,0.101000,8803,10417993,-95,35,4398
103,0.101999,8804,10418992,-111,21,4394
104,0.102999,8805,10419992,-112,5,4349
105,0.103999,8806,10420992,-108,8,4317
106,0.105000,8807,10421993,-104,5,4329
107,0.106000,8808,10422993,-79,11,4303
108,0.106999,8809,10423992,-73,20,4231
109,0.107999,8810,10424992,-55,18,4204
110,0.109000,8811,10425993,-32,16,4224
111,0.110000,8812,10426993,-29,-1,4215
112,0.111000,8813,10427993,-9,4,4217
113,0.111999,8814,10428992,-19,2,4218
114,0.113000,8815,10429993,-32,1,4243
115,0.114000,8816,10430993,-40,32,4281
116,0.114999,8817,10431992,-35,43,4296
117,0.116000,8818,10432993,-50,39,4321
118,0.117000,8819,10433993,-99,59,4340
119,0.118000,8820,10434993,-113,76,4339
120,0.118999,8821,10435992,-131,81,4385
121,0.120000,8822,10436993,-134,78,4451
122,0.121000,8823,10437993,-112,68,4452
123,0.122000,8824,10438993,-98,72,4482
124,0.123000,8825,10439993,-108,75,4477
125,0.124000,8826,10440993,-157,77,4420
126,0.124999,8827,10441992,-184,60,4400
127,0.126000,8828,10442993,-175,36,4390
128,0.127000,8829,10443993,-188,41,4380
129,0.128000,8830,10444993,-215,27,4373
130,0.129000,8831,10445993,-212,5,4353
131,0.130000,8832,10446993,-199,24,4362
132,0.130999,8833,10447992,-198,35,4378
133,0.132000,8834,10448993,-188,34,4358
134,0.133000,8835,10449993,-179,27,4373
135,0.134000,8836,10450993,-180,31,4424
136,0.135000,8837,10451993,-168,45,4456
137,0.135999,8838,10452992,-141,62,4467
138,0.136999,8839,10453992,-142,75,4477
139,0.137999,8840,10454992,-157,74,4469
140,0.138999,8841,10455992,-138,81,4450
141,0.139999,8842,10456992,-130,81,4423
142,0.141000,8843,10457993,-131,60,4394
143,0.142000,8844,10458993,-128,34,4397
144,0.143000,8845,10459993,-127,34,4415
145,0.144000,8846,10460993,-103,65,4417
146,0.145000,8847,10461993,-78,60,4413
147,0.145999,8848,10462992,-88,47,4426
148,0.146999,8849,10463992,-118,60,4430
149,0.148000,8850,10464993,-124,52,4411
150,0.149000,8851,10465993,-114,26,4395
151,0.150000,8852,10466993,-137,30,4362
152,0.151000,8853,10467993,-157,52,4357
153,0.152000,8854,10468993,-151,31,4390
154,0.153000,8855,10469993,-142,10,4409
155,0.154000,8856,10470993,-138,17,4395
156,0.155000,8857,10471993,-129,26,4364
157,0.155999,8858,10472992,-103,24,4367
158,0.157000,8859,10473993,-117,3,4358
159,0.158000,8860,10474993,-135,-1,4347
160,0.159000,8861,10475993,-122,10,4340
161,0.159999,8862,10476992,-113,8,4311
162,0.160999,8863,10477992,-105,11,4293
163,0.162000,8864,10478993,-76,15,4273
164,0.163000,8865,10479993,-49,20,4293
165,0.163999,8866,10480992,-55,28,4327
166,0.165000,8867,10481993,-65,25,4323
167,0.166000,8868,10482993,-94,24,4307
168,0.167000,8869,10483993,-107,10,4302
169,0.168000,8870,10484993,-98,-4,4308
170,0.168999,8871,10485992,-111,11,4322
171,0.169999,8872,10486992,-120,34,4361
172,0.171000,8873,10487993,-111,58,4386
173,0.171999,8874,10488992,-132,74,4400
174,0.173000,8875,10489993,-137,76,4426
175,0.173999,8876,10490992,-97,74,4411
176,0.175000,8877,10491993,-77,60,4375
177,0.176000,8878,10492993,-98,63,4375
