sample_index,micros,ax,ay,az
87,461733143,7,69,4433
88,461733523,19,72,4430
89,461733931,19,72,4430
90,461734328,-2,67,4395
91,461734730,-2,67,4395
92,461735124,-2,67,4395
93,461735527,-16,58,4372
94,461735929,-16,58,4372
95,461736340,-16,58,4400
96,461736742,-16,58,4400
97,461737149,-16,58,4400
98,461737544,-8,40,4388
99,461737950,-8,40,4388
100,461738338,17,40,4359
101,461738739,17,40,4359
102,461739134,17,40,4359
103,461739530,46,52,4333
104,461739923,46,52,4333
105,461740329,72,38,4306
106,461740722,72,38,4306
107,461741120,72,38,4306
108,461741512,103,14,4327
109,461741912,103,14,4327
110,461742306,100,5,4338
111,461742705,100,5,4338
112,461743093,100,5,4338
113,461743488,75,35,4320
114,461743882,75,35,4320
115,461744288,67,58,4349
116,461744673,67,58,4349
117,461745065,67,58,4349
118,461745462,35,58,4418
119,461745863,35,58,4418
120,461746252,18,57,4447
121,461746658,18,57,4447
122,461747050,18,57,4447
123,461747449,24,40,4441
124,461747846,24,40,4441
125,461748241,22,48,4436
126,461748634,22,48,4436
127,461749032,22,48,4436
128,461749426,8,73,4433
129,461749826,8,73,4433
130,461750206,8,66,4436
131,461750608,8,66,4436
132,461751000,8,66,4436
133,461751400,2,30,4407
134,461751796,2,30,4407
135,461752175,2,19,4372
136,461752538,2,19,4372
137,461752899,2,19,4372
138,461753274,32,4,4351
139,461753674,32,4,4351
140,461754077,32,4,4351
141,461754476,30,1,4328
142,461754863,30,1,4328
143,461755245,46,10,4349
144,461755641,46,10,4349
145,461756044,46,10,4349
146,461756431,52,22,4353
147,461756831,52,22,4353
148,461757212,23,59,4317
149,461757615,23,59,4317
150,461758013,23,59,4317
151,461758406,32,62,4347
152,461758801,32,62,4347
153,461759193,53,41,4403
154,461759583,53,41,4403
155,461759993,53,41,4403
156,461760380,31,51,4370
157,461760780,31,51,4370
158,461761174,3,75,4390
159,461761562,3,75,4390
160,461761968,3,75,4390
161,461762368,17,69,4430
162,461762755,17,69,4430
163,461763144,17,69,4430
164,461763525,12,64,4415
165,461763925,12,64,4415
166,461764331,-6,57,4408
167,461764738,-6,57,4408
168,461765140,-6,57,4408
169,461765544,19,54,4409
170,461765932,19,54,4409
171,461766336,39,65,4401
172,461766724,39,65,4401
173,461767125,39,65,4401
174,461767515,53,62,4366
175,461767914,53,62,4366
176,461768320,70,47,4336
177,461768706,70,47,4336
178,461769086,70,47,4336
179,461769481,73,51,4347
180,461769876,73,51,4347
181,461770278,70,57,4330
182,461770665,70,57,4330
183,461771068,70,57,4330
184,461771462,68,42,4301
185,461771863,68,42,4301
186,461772251,35,47,4317
187,461772652,35,47,4317
188,461773051,35,47,4317
189,461773453,24,50,4361
190,461773854,24,50,4361
191,461774243,43,55,4402
192,461774638,43,55,4402
193,461775041,43,55,4402
194,461775435,34,52,4392
195,461775830,34,52,4392
196,461776216,19,55,4393
197,461776613,19,55,4393
198,461777017,19,55,4393
199,461777407,12,57,4405
200,461777807,12,57,4405
201,461778193,21,50,4382
202,461778591,21,50,4382
203,461778990,21,50,4382
204,461779389,6,72,4372
205,461779777,6,72,4372
206,461780176,-16,72,4384
207,461780575,-16,72,4384
208,461780990,-16,72,4384
209,461781393,-8,54,4369
210,461781800,-8,54,4369
211,461782187,5,49,4366
212,461782576,5,49,4366
213,461782969,5,49,4366
214,461783362,7,43,4350
215,461783756,7,43,4350
216,461784154,7,43,4350
217,461784545,10,28,4301
218,461784938,10,28,4301
219,461785328,10,28,4314
220,461785696,10,28,4314
221,461786091,10,28,4314
222,461786491,-2,52,4321
223,461786899,-2,52,4321
224,461787311,13,75,4316
225,461787700,13,75,4316
226,461788086,13,75,4316
227,461788469,18,52,4348
228,461788867,18,52,4348
229,461789257,-7,45,4359
230,461789669,-7,45,4359
231,461790075,-7,45,4359
232,461790486,-5,67,4353
233,461790888,-5,67,4353
234,461791293,-2,62,4377
235,461791701,-2,62,4377
236,461792109,-2,62,4377
237,461792503,0,46,4398
238,461792903,0,46,4398
239,461793301,36,38,4436
240,461793700,36,38,4436
241,461794094,36,38,4436
242,461794490,41,41,4454
243,461794879,41,41,4454
244,461795267,19,63,4388
245,461795668,19,63,4388
246,461796072,19,63,4388
247,461796470,16,67,4344
248,461796863,16,67,4344
249,461797252,46,45,4348
250,461797652,46,45,4348
251,461798050,46,45,4348
252,461798450,76,43,4362
253,461798846,76,43,4362
254,461799240,71,73,4358
255,461799628,71,73,4358
256,461800038,71,73,4358
257,461800417,83,67,4370
258,461800826,83,67,4370
259,461801206,79,51,4390
260,461801608,79,51,4390
261,461801999,79,51,4390
262,461802367,47,62,4382
263,461802745,47,62,4382
264,461803146,47,62,4382
265,461803528,49,44,4394
266,461803930,49,44,4394
267,461804336,52,37,4405
268,461804735,52,37,4405
269,461805122,52,37,4405
270,461805528,28,49,4392
271,461805915,28,49,4392
272,461806320,8,46,4373
273,461806714,8,46,4373
274,461807113,8,46,4373
275,461807502,8,60,4361
276,461807902,8,60,4361
277,461808300,37,67,4391
278,461808700,37,67,4391
279,461809094,37,67,4391
280,461809497,22,57,4401
281,461809892,22,57,4401
282,461810295,6,50,4374
283,461810696,6,50,4374
284,461811090,6,50,4374
285,461811479,44,55,4357
286,461811885,44,55,4357
287,461812267,35,56,4304
288,461812667,35,56,4304
289,461813063,35,56,4304
290,461813472,18,40,4295
291,461813867,18,40,4295
292,461814255,35,35,4338
293,461814644,35,35,4338
294,461815051,35,35,4338
295,461815445,30,32,4368
296,461815840,30,32,4368
297,461816230,22,31,4368
298,461816623,22,31,4368
299,461817022,22,31,4368
300,461817423,33,54,4355
301,461817818,33,54,4355
302,461818210,32,63,4383
303,461818593,32,63,4383
304,461818966,32,63,4383
305,461819367,48,70,4406
306,461819759,48,70,4406
307,461820153,48,70,4406
308,461820543,55,79,4402
309,461820937,55,79,4402
310,461821339,14,47,4381
311,461821728,14,47,4381
312,461822128,14,47,4381
313,461822518,-3,58,4405
314,461822934,-3,58,4405
315,461823341,9,75,4416
316,461823733,9,75,4416
317,461824125,9,75,4416
318,461824528,35,49,4360
319,461824914,35,49,4360
320,461825319,19,47,4357
321,461825714,19,47,4357
322,461826112,19,47,4357
323,461826495,-10,60,4362
324,461826907,-10,60,4362
325,461827313,6,37,4349
326,461827712,6,37,4349
327,461828099,6,37,4349
328,461828504,27,17,4342
329,461828893,27,17,4342
330,461829292,32,27,4336
331,461829685,32,27,4336
332,461830085,32,27,4336
333,461830479,49,36,4339
334,461830879,49,36,4339
335,461831266,57,35,4350
336,461831667,57,35,4350
337,461832063,57,35,4350
338,461832471,9,57,4390
339,461832858,9,57,4390
340,461833253,-19,72,4379
341,461833662,-19,72,4379
342,461834074,-19,72,4379
343,461834477,11,53,4369
344,461834872,11,53,4369
345,461835261,31,32,4385
346,461835649,31,32,4385
347,461836048,31,32,4385
348,461836447,10,25,4368
349,461836854,10,25,4368
350,461837237,0,40,4365
351,461837637,0,40,4365
352,461838034,0,40,4365
353,461838427,12,55,4375
354,461838822,12,55,4375
355,461839209,20,69,4396
356,461839600,20,69,4396
357,461840010,20,69,4396
358,461840396,16,38,4385
359,461840796,16,38,4385
360,461841183,15,21,4354
361,461841580,15,21,4354
362,461841979,15,21,4354
363,461842374,32,42,4348
364,461842774,32,42,4348
365,461843169,56,37,4339
366,461843552,56,37,4339
367,461843963,56,37,4339
368,461844357,50,53,4356
369,461844758,50,53,4356
370,461845145,50,53,4356
371,461845541,20,46,4363
372,461845921,20,46,4363
373,461846322,15,40,4374
374,461846717,15,40,4374
375,461847117,15,40,4374
376,461847508,43,71,4408
377,461847908,43,71,4408
378,461848306,52,70,4400
379,461848705,52,70,4400
380,461849099,52,70,4400
381,461849501,43,56,4371
382,461849895,43,56,4371
383,461850293,35,48,4375
384,461850685,35,48,4375
385,461851081,35,48,4375
386,461851476,33,48,4382
387,461851883,33,48,4382
388,461852244,16,43,4389
389,461852626,16,43,4389
390,461853029,16,43,4389
391,461853430,10,35,4376
392,461853830,10,35,4376
393,461854210,36,24,4348
394,461854619,36,24,4348
395,461855019,36,24,4348
396,461855412,60,19,4338
397,461855805,60,19,4338
398,461856197,59,43,4339
399,461856588,59,43,4339
400,461856998,59,43,4339
401,461857378,63,41,4358
402,461857774,63,41,4358
403,461858169,101,49,4360
404,461858559,101,49,4360
405,461858959,101,49,4360
406,461859360,56,58,4333
407,461859749,56,58,4333
408,461860148,56,58,4333
409,461860530,13,56,4333
410,461860930,13,56,4333
411,461861336,17,53,4335
412,461861737,17,53,4335
413,461862130,17,53,4335
414,461862527,-1,22,4329
415,461862930,-1,22,4329
416,461863340,15,23,4361
417,461863727,15,23,4361
418,461864135,15,23,4361
419,461864526,39,33,4369
420,461864919,39,33,4369
421,461865325,25,40,4369
422,461865719,25,40,4369
423,461866113,25,40,4369
424,461866517,18,62,4398
425,461866905,18,62,4398
426,461867307,48,47,4386
427,461867701,48,47,4386
428,461868101,48,47,4386
429,461868489,52,19,4336
430,461868876,52,19,4336
431,461869248,29,21,4345
432,461869641,29,21,4345
433,461870037,29,21,4345
434,461870439,3,34,4378
435,461870840,3,34,4378
436,461871220,-30,48,4362
437,461871626,-30,48,4362
438,461872038,-30,48,4362
439,461872434,-20,44,4366
440,461872843,-20,44,4366
441,461873234,19,32,4388
442,461873627,19,32,4388
443,461874033,19,32,4388
444,461874432,29,43,4373
445,461874820,29,43,4373
446,461875213,10,68,4357
447,461875604,10,68,4357
448,461876016,10,68,4357
449,461876411,-17,43,4371
450,461876819,-17,43,4371
451,461877206,2,15,4364
452,461877602,2,15,4364
453,461878001,2,15,4364
454,461878400,28,36,4397
455,461878794,28,36,4397
456,461879186,29,56,4411
457,461879577,29,56,4411
458,461879981,29,56,4411
459,461880376,44,60,4354
460,461880774,44,60,4354
461,461881168,32,59,4342
462,461881558,32,59,4342
463,461881957,32,59,4342
464,461882364,21,47,4351
465,461882751,21,47,4351
466,461883151,21,47,4351
467,461883533,20,53,4371
468,461883933,20,53,4371
469,461884321,26,71,4404
470,461884714,26,71,4404
471,461885109,26,71,4404
472,461885499,47,51,4407
473,461885888,47,51,4407
474,461886293,65,42,4366
475,461886681,65,42,4366
476,461887081,65,42,4366
477,461887476,74,43,4326
478,461887876,74,43,4326
479,461888264,87,29,4351
480,461888660,87,29,4351
481,461889052,87,29,4351
482,461889447,106,31,4375
483,461889858,106,31,4375
484,461890241,81,38,4361
485,461890640,81,38,4361
486,461891037,81,38,4361
487,461891437,53,38,4367
488,461891832,53,38,4367
489,461892218,48,57,4371
490,461892615,48,57,4371
491,461893026,48,57,4371
492,461893413,13,57,4365
493,461893814,13,57,4365
494,461894195,10,35,4387
495,461894592,10,35,4387
496,461894989,10,35,4387
497,461895389,34,40,4427
498,461895783,34,40,4427
499,461896175,-1,54,4396
500,461896575,-1,54,4396
501,461896995,-1,54,4396
502,461897396,-10,46,4358
503,461897804,-10,46,4358
504,461898191,41,33,4357
505,461898588,41,33,4357
506,461898986,41,33,4357
507,461899375,67,30,4390
508,461899771,67,30,4390
509,461900164,64,49,4398
510,461900546,64,49,4398
511,461900949,64,49,4398
512,461901343,27,57,4329
513,461901742,27,57,4329
514,461902129,27,57,4329
515,461902518,-2,34,4311
516,461902925,-2,34,4311
517,461903331,-3,42,4347
518,461903739,-3,42,4347
