sample_index,micros,ax,ay,az
66,50520541,14,50,4355
67,50520940,3,43,4368
68,50521336,3,43,4368
69,50521726,-10,32,4378
70,50522121,-10,32,4378
71,50522525,-10,32,4378
72,50522921,12,23,4399
73,50523318,12,23,4399
74,50523706,12,24,4381
75,50524094,12,24,4381
76,50524488,12,24,4381
77,50524887,4,34,4400
78,50525286,4,34,4400
79,50525666,9,43,4417
80,50526047,9,43,4417
81,50526440,9,43,4417
82,50526833,21,47,4394
83,50527232,21,47,4394
84,50527625,21,47,4394
85,50528017,28,40,4375
86,50528400,28,40,4375
87,50528799,32,55,4350
88,50529193,32,55,4350
89,50529585,32,55,4350
90,50529965,7,54,4335
91,50530365,7,54,4335
92,50530759,7,32,4357
93,50531153,7,32,4357
94,50531546,7,32,4357
95,50531950,25,27,4372
96,50532344,25,27,4372
97,50532737,-3,35,4354
98,50533138,-3,35,4354
99,50533549,-3,35,4354
100,50533943,-17,49,4359
101,50534355,-17,49,4359
102,50534743,-4,46,4351
103,50535157,-4,46,4351
104,50535550,-4,46,4351
105,50535963,-11,47,4352
106,50536360,-11,47,4352
107,50536755,-9,36,4359
108,50537159,-9,36,4359
109,50537562,-9,36,4359
110,50537962,12,24,4366
111,50538363,12,24,4366
112,50538745,-4,27,4387
113,50539149,-4,27,4387
114,50539546,-4,27,4387
115,50539957,-6,27,4380
116,50540358,-6,27,4380
117,50540766,-14,53,4368
118,50541160,-14,53,4368
119,50541568,-14,53,4368
120,50541960,-47,42,4363
121,50542363,-47,42,4363
122,50542751,-47,25,4370
123,50543155,-47,25,4370
124,50543557,-47,25,4370
125,50543965,-21,23,4390
126,50544360,-21,23,4390
127,50544735,2,19,4385
128,50545100,2,19,4385
129,50545497,2,19,4385
130,50545891,15,29,4351
131,50546295,15,29,4351
132,50546676,20,41,4347
133,50547076,20,41,4347
134,50547471,20,41,4347
135,50547870,5,51,4330
136,50548265,5,51,4330
137,50548656,-8,60,4335
138,50549059,-8,60,4335
139,50549457,-8,60,4335
140,50549859,-10,50,4388
141,50550265,-10,50,4388
142,50550655,-9,31,4377
143,50551065,-9,31,4377
144,50551470,-9,31,4377
145,50551870,2,30,4354
146,50552259,2,30,4354
147,50552650,11,47,4381
148,50553017,11,47,4381
149,50553405,11,47,4381
150,50553794,41,54,4358
151,50554187,41,54,4358
152,50554576,41,54,4358
153,50554975,41,42,4339
154,50555369,41,42,4339
155,50555756,25,35,4373
156,50556151,25,35,4373
157,50556550,25,35,4373
158,50556948,22,34,4396
159,50557349,22,34,4396
160,50557730,14,58,4378
161,50558125,14,58,4378
162,50558508,14,58,4378
163,50558889,9,52,4374
164,50559285,9,52,4374
165,50559677,41,29,4399
166,50560069,41,29,4399
167,50560465,41,29,4399
168,50560859,46,33,4392
169,50561254,46,33,4392
170,50561640,46,33,4392
171,50562031,29,51,4398
172,50562425,29,51,4398
173,50562825,29,40,4405
174,50563219,29,40,4405
175,50563619,29,40,4405
176,50564005,1,32,4350
177,50564403,1,32,4350
178,50564798,-6,37,4336
179,50565201,-6,37,4336
180,50565597,-6,37,4336
181,50566001,1,41,4348
182,50566388,1,41,4348
183,50566796,11,48,4352
184,50567183,11,48,4352
185,50567578,11,48,4352
186,50567970,9,30,4394
187,50568355,9,30,4394
188,50568728,8,45,4383
189,50569116,8,45,4383
190,50569503,8,45,4383
191,50569898,9,49,4349
192,50570290,9,49,4349
193,50570682,-5,39,4368
194,50571089,-5,39,4368
195,50571496,-5,39,4368
196,50571891,-7,42,4388
197,50572302,-7,42,4388
198,50572696,-8,25,4391
199,50573105,-8,25,4391
200,50573507,-8,25,4391
201,50573920,-8,41,4374
202,50574318,-8,41,4374
203,50574717,6,37,4349
204,50575099,6,37,4349
205,50575487,6,37,4349
206,50575873,25,52,4353
207,50576273,25,52,4353
208,50576659,26,68,4397
209,50577060,26,68,4397
210,50577455,26,68,4397
211,50577854,-12,31,4381
212,50578256,-12,31,4381
213,50578655,-37,52,4298
214,50579062,-37,52,4298
215,50579472,-37,52,4298
216,50579867,-33,55,4309
217,50580274,-33,55,4309
218,50580668,-14,40,4364
219,50581068,-14,40,4364
220,50581468,-14,40,4364
221,50581882,-6,48,4386
222,50582284,-6,48,4386
223,50582676,-10,38,4363
224,50583075,-10,38,4363
225,50583494,-10,38,4363
226,50583895,14,37,4333
227,50584293,14,37,4333
228,50584668,30,32,4345
229,50585068,30,32,4345
230,50585462,30,32,4345
231,50585863,2,42,4349
232,50586255,2,42,4349
233,50586646,-7,56,4392
234,50587045,-7,56,4392
235,50587452,-7,56,4392
236,50587847,7,49,4408
237,50588247,7,49,4408
238,50588641,17,61,4367
239,50589031,17,61,4367
240,50589425,17,61,4367
241,50589826,21,63,4370
242,50590220,21,63,4370
243,50590619,21,63,4370
244,50591004,32,55,4394
245,50591405,32,55,4394
246,50591791,37,51,4406
247,50592159,37,51,4406
248,50592548,37,51,4406
249,50592940,28,42,4405
250,50593338,28,42,4405
251,50593726,-1,26,4357
252,50594134,-1,26,4357
253,50594541,-1,26,4357
254,50594942,-20,41,4317
255,50595348,-20,41,4317
256,50595743,0,61,4347
257,50596144,0,61,4347
258,50596532,0,61,4347
259,50596931,19,56,4391
260,50597329,19,56,4391
261,50597724,18,52,4397
262,50598112,18,52,4397
263,50598513,18,52,4397
264,50598906,10,42,4333
265,50599312,10,42,4333
266,50599691,21,39,4303
267,50600093,21,39,4303
268,50600480,21,39,4303
269,50600879,36,43,4383
270,50601273,36,43,4383
271,50601659,15,44,4390
272,50602054,15,44,4390
273,50602449,15,44,4390
274,50602845,-37,44,4360
275,50603248,-37,44,4360
276,50603643,-45,45,4384
277,50604042,-45,45,4384
278,50604442,-45,45,4384
279,50604850,-20,57,4404
280,50605259,-20,57,4404
281,50605659,-5,41,4403
282,50606057,-5,41,4403
283,50606458,-5,41,4403
284,50606860,5,26,4379
285,50607253,5,26,4379
286,50607635,5,26,4379
287,50608025,15,50,4363
288,50608419,15,50,4363
289,50608787,-6,43,4365
290,50609182,-6,43,4365
291,50609590,-6,43,4365
292,50609983,-8,47,4361
293,50610398,-8,47,4361
294,50610793,18,64,4345
295,50611193,18,64,4345
296,50611587,18,64,4345
297,50611984,2,47,4345
298,50612372,2,47,4345
299,50612771,-29,50,4388
300,50613166,-29,50,4388
301,50613583,-29,50,4388
302,50613983,-22,54,4411
303,50614391,-22,54,4411
304,50614792,17,24,4365
305,50615184,17,24,4365
306,50615580,17,24,4365
307,50615973,8,30,4389
308,50616361,8,30,4389
309,50616762,-24,57,4404
310,50617157,-24,57,4404
311,50617575,-24,57,4404
312,50617973,-8,45,4359
313,50618386,-8,45,4359
314,50618781,3,46,4381
315,50619178,3,46,4381
316,50619571,3,46,4381
317,50619970,-19,40,4401
318,50620372,-19,40,4401
319,50620780,-7,28,4395
320,50621181,-7,28,4395
321,50621588,-7,28,4395
322,50621986,-5,37,4362
323,50622401,-5,37,4362
324,50622795,-3,47,4356
325,50623203,-3,47,4356
326,50623612,-3,47,4356
327,50624012,1,45,4391
328,50624400,1,45,4391
329,50624780,-25,36,4377
330,50625149,-25,36,4377
331,50625555,-25,36,4377
332,50625961,-27,56,4360
333,50626368,-27,56,4360
334,50626763,-28,52,4363
335,50627169,-28,52,4363
336,50627571,-28,52,4363
337,50627978,-29,37,4370
338,50628364,-29,37,4370
339,50628752,-11,50,4362
340,50629149,-11,50,4362
341,50629557,-11,50,4362
342,50629963,-1,60,4374
343,50630371,-1,60,4374
344,50630768,9,60,4387
345,50631160,9,60,4387
346,50631548,9,60,4387
347,50631942,15,56,4379
348,50632335,15,56,4379
349,50632724,18,37,4374
350,50633112,18,37,4374
351,50633510,18,37,4374
352,50633899,25,39,4364
353,50634304,25,39,4364
354,50634684,4,56,4357
355,50635081,4,56,4357
356,50635471,4,56,4357
357,50635871,-16,44,4375
358,50636266,-16,44,4375
359,50636665,-10,42,4375
360,50637068,-10,42,4375
361,50637478,-10,42,4375
362,50637880,3,35,4340
363,50638280,3,35,4340
364,50638661,25,41,4351
365,50639062,25,41,4351
366,50639450,25,41,4351
367,50639847,19,51,4403
368,50640228,19,51,4403
369,50640625,19,51,4403
370,50641012,-2,30,4374
371,50641414,-2,30,4374
372,50641807,13,36,4355
373,50642192,13,36,4355
374,50642581,13,36,4355
375,50642979,12,45,4399
376,50643368,12,45,4399
377,50643757,-5,45,4394
378,50644159,-5,45,4394
379,50644548,-5,45,4394
380,50644917,4,48,4372
381,50645298,4,48,4372
382,50645684,-5,44,4354
383,50646082,-5,44,4354
384,50646489,-5,44,4354
385,50646891,-23,19,4346
386,50647302,-23,19,4346
387,50647689,-23,39,4356
388,50648094,-23,39,4356
389,50648495,-23,39,4356
390,50648903,-15,59,4377
391,50649309,-15,59,4377
392,50649711,-2,38,4371
393,50650100,-2,38,4371
394,50650510,-2,38,4371
395,50650912,6,48,4366
396,50651316,6,48,4366
397,50651690,-8,38,4363
398,50652093,-8,38,4363
399,50652495,-8,38,4363
400,50652910,-43,50,4355
401,50653309,-43,50,4355
402,50653711,-39,61,4342
