row,seconds,esp32_index,micros,ax,ay,az
1,0.000000,70,170274468,-6283,2517,4794
2,0.000397,71,170274865,-6283,2517,4794
3,0.000796,72,170275264,-5300,1738,5890
4,0.001199,73,170275667,-5300,1738,5890
5,0.001601,74,170276069,-8761,845,5780
6,0.002003,75,170276471,-8761,845,5780
7,0.002393,76,170276861,-8761,845,5780
8,0.002799,77,170277267,-6104,-806,3352
9,0.003216,78,170277684,-6104,-806,3352
10,0.003627,79,170278095,-3347,-1930,2265
11,0.004031,80,170278499,-3347,-1930,2265
12,0.004448,81,170278916,-3347,-1930,2265
13,0.004859,82,170279327,956,-2500,3043
14,0.005252,83,170279720,956,-2500,3043
15,0.005654,84,170280122,5165,-3042,3952
16,0.006051,85,170280519,5165,-3042,3952
17,0.006456,86,170280924,5726,-3316,4928
18,0.006858,87,170281326,5726,-3316,4928
19,0.007260,88,170281728,5726,-3316,4928
20,0.007662,89,170282130,6529,-3469,6412
21,0.008056,90,170282524,6529,-3469,6412
22,0.008467,91,170282935,6423,-3086,7038
23,0.008862,92,170283330,6423,-3086,7038
24,0.009265,93,170283733,6423,-3086,7038
25,0.009667,94,170284135,6253,-2386,5457
26,0.010061,95,170284529,6253,-2386,5457
27,0.010472,96,170284940,7305,-1662,4150
28,0.010867,97,170285335,7305,-1662,4150
29,0.011269,98,170285737,7305,-1662,4150
30,0.011672,99,170286140,7791,-1243,3406
31,0.012067,100,170286535,7791,-1243,3406
32,0.012485,101,170286953,7088,-1758,1889
33,0.012880,102,170287348,7088,-1758,1889
34,0.013283,103,170287751,7088,-1758,1889
35,0.013694,104,170288162,790,-2115,2035
36,0.014084,105,170288552,790,-2115,2035
37,0.014492,106,170288960,-4520,-1627,4012
38,0.014901,107,170289369,-4520,-1627,4012
39,0.015311,108,170289779,-4520,-1627,4012
40,0.015722,109,170290190,-1699,-1389,5550
41,0.016119,110,170290587,-1699,-1389,5550
42,0.016542,111,170291010,109,-1142,6467
43,0.016937,112,170291405,109,-1142,6467
44,0.017343,113,170291811,109,-1142,6467
45,0.017745,114,170292213,1872,-753,6797
46,0.018148,115,170292616,1872,-753,6797
47,0.018554,116,170293022,3385,-153,6444
48,0.018959,117,170293427,3385,-153,6444
49,0.019354,118,170293822,3385,-153,6444
50,0.019757,119,170294225,3553,515,6010
51,0.020152,120,170294620,3553,515,6010
52,0.020549,121,170295017,5875,693,4890
53,0.020941,122,170295409,5875,693,4890
54,0.021330,123,170295798,5875,693,4890
55,0.021725,124,170296193,2424,1092,3413
56,0.022113,125,170296581,2424,1092,3413
57,0.022513,126,170296981,-1065,1717,2830
58,0.022915,127,170297383,-1065,1717,2830
59,0.023318,128,170297786,-1065,1717,2830
60,0.023721,129,170298189,-5810,2115,3192
61,0.024118,130,170298586,-5810,2115,3192
62,0.024533,131,170299001,-12850,2964,2613
63,0.024928,132,170299396,-12850,2964,2613
64,0.025331,133,170299799,-12850,2964,2613
65,0.025734,134,170300202,-7383,3396,1023
66,0.026137,135,170300605,-7383,3396,1023
67,0.026536,136,170301004,-1203,3737,2028
68,0.026938,137,170301406,-1203,3737,2028
69,0.027340,138,170301808,-1203,3737,2028
70,0.027743,139,170302211,-920,4456,4572
71,0.028146,140,170302614,-920,4456,4572
72,0.028560,141,170303028,-2301,4406,5454
73,0.028955,142,170303423,-2301,4406,5454
74,0.029353,143,170303821,-2301,4406,5454
75,0.029754,144,170304222,-7561,3863,5025
76,0.030157,145,170304625,-7561,3863,5025
77,0.030562,146,170305030,-7254,2678,4597
78,0.030962,147,170305430,-7254,2678,4597
79,0.031359,148,170305827,-7254,2678,4597
80,0.031762,149,170306230,-5638,2008,5558
81,0.032165,150,170306633,-5638,2008,5558
82,0.032571,151,170307039,-8735,1373,6170
83,0.032975,152,170307443,-8735,1373,6170
84,0.033373,153,170307841,-8735,1373,6170
85,0.033775,154,170308243,-6111,-390,4111
86,0.034193,155,170308661,-6111,-390,4111
87,0.034603,156,170309071,-4058,-1722,2273
88,0.035007,157,170309475,-4058,-1722,2273
89,0.035413,158,170309881,-4058,-1722,2273
90,0.035826,159,170310294,-1088,-2278,2713
91,0.036236,160,170310704,-1088,-2278,2713
92,0.036646,161,170311114,4670,-2934,3954
93,0.037034,162,170311502,4670,-2934,3954
94,0.037431,163,170311899,4670,-2934,3954
95,0.037838,164,170312306,5847,-3330,4614
96,0.038241,165,170312709,5847,-3330,4614
97,0.038644,166,170313112,6127,-3502,5892
98,0.039039,167,170313507,6127,-3502,5892
99,0.039440,168,170313908,6616,-3344,7230
100,0.039845,169,170314313,6616,-3344,7230
101,0.040248,170,170314716,6616,-3344,7230
102,0.040652,171,170315120,6437,-2512,5985
103,0.041047,172,170315515,6437,-2512,5985
104,0.041460,173,170315928,6904,-1912,4521
105,0.041855,174,170316323,6904,-1912,4521
106,0.042258,175,170316726,6904,-1912,4521
107,0.042660,176,170317128,7440,-1301,3669
108,0.043057,177,170317525,7440,-1301,3669
109,0.043461,178,170317929,8072,-1559,2133
110,0.043872,179,170318340,8072,-1559,2133
111,0.044267,180,170318735,8072,-1559,2133
112,0.044669,181,170319137,3573,-2141,1905
113,0.045060,182,170319528,3573,-2141,1905
114,0.045464,183,170319932,-4174,-1762,3559
115,0.045882,184,170320350,-4174,-1762,3559
116,0.046292,185,170320760,-4174,-1762,3559
117,0.046703,186,170321171,-3000,-1496,4998
118,0.047099,187,170321567,-3000,-1496,4998
119,0.047518,188,170321986,37,-1339,6107
120,0.047914,189,170322382,37,-1339,6107
121,0.048316,190,170322784,37,-1339,6107
122,0.048718,191,170323186,1235,-858,6855
123,0.049115,192,170323583,1235,-858,6855
124,0.049530,193,170323998,3002,-332,6532
125,0.049925,194,170324393,3002,-332,6532
126,0.050328,195,170324796,3002,-332,6532
127,0.050730,196,170325198,2982,282,6061
128,0.051119,197,170325587,2982,282,6061
129,0.051517,198,170325985,5684,627,5287
130,0.051912,199,170326380,5684,627,5287
131,0.052307,200,170326775,5684,627,5287
132,0.052701,201,170327169,4887,816,3771
133,0.053091,202,170327559,4887,816,3771
134,0.053483,203,170327951,433,1499,3034
135,0.053877,204,170328345,433,1499,3034
136,0.054272,205,170328740,433,1499,3034
137,0.054666,206,170329134,-6051,2182,3107
138,0.055061,207,170329529,-6051,2182,3107
139,0.055464,208,170329932,-12778,2828,2869
140,0.055875,209,170330343,-12778,2828,2869
141,0.056271,210,170330739,-12778,2828,2869
142,0.056673,211,170331141,-7029,3070,1699
143,0.057062,212,170331530,-7029,3070,1699
144,0.057466,213,170331934,-1241,3416,1497
145,0.057877,214,170332345,-1241,3416,1497
146,0.058272,215,170332740,-1241,3416,1497
147,0.058675,216,170333143,-2889,4435,3679
148,0.059065,217,170333533,-2889,4435,3679
149,0.059476,218,170333944,-2111,4632,5278
150,0.059872,219,170334340,-2111,4632,5278
151,0.060274,220,170334742,-2111,4632,5278
152,0.060675,221,170335143,-5138,4024,5200
153,0.061067,222,170335535,-5138,4024,5200
154,0.061485,223,170335953,-8090,3121,4706
155,0.061880,224,170336348,-8090,3121,4706
156,0.062283,225,170336751,-8090,3121,4706
157,0.062680,226,170337148,-5717,2242,5208
158,0.063068,227,170337536,-5717,2242,5208
159,0.063481,228,170337949,-8290,1632,6124
160,0.063875,229,170338343,-8290,1632,6124
161,0.064278,230,170338746,-8290,1632,6124
162,0.064682,231,170339150,-7395,191,4828
163,0.065070,232,170339538,-7395,191,4828
164,0.065474,233,170339942,-4564,-1358,2625
165,0.065892,234,170340360,-4564,-1358,2625
166,0.066302,235,170340770,-4564,-1358,2625
167,0.066712,236,170341180,-2413,-2101,2515
168,0.067109,237,170341577,-2413,-2101,2515
169,0.067526,238,170341994,4012,-2822,3605
170,0.067920,239,170342388,4012,-2822,3605
171,0.068323,240,170342791,4012,-2822,3605
172,0.068726,241,170343194,5794,-3206,4151
173,0.069123,242,170343591,5794,-3206,4151
174,0.069530,243,170343998,5512,-3414,5342
