row,seconds,esp32_index,micros,v0,v1
1,0.000000,29914149,-183,77,4373
2,29.914735,64,29914552,-183,77,4373
3,29.915133,65,29914950,-183,77,4373
4,29.915529,66,29915346,-210,75,4363
5,29.915898,67,29915715,-210,75,4363
6,29.916267,68,29916084,-210,75,4363
7,29.916652,69,29916469,-203,91,4344
8,29.917041,70,29916858,-203,91,4344
9,29.917447,71,29917264,-219,83,4336
10,29.917848,72,29917665,-219,83,4336
11,29.918250,73,29918067,-219,83,4336
12,29.918645,74,29918462,-217,78,4366
13,29.919048,75,29918865,-217,78,4366
14,29.919439,76,29919256,-179,112,4364
15,29.919838,77,29919655,-179,112,4364
16,29.920235,78,29920052,-179,112,4364
17,29.920622,79,29920439,-179,100,4372
18,29.921011,80,29920828,-179,100,4372
19,29.921399,81,29921216,-187,73,4376
20,29.921795,82,29921612,-187,73,4376
21,29.922189,83,29922006,-187,73,4376
22,29.922576,84,29922393,-185,69,4375
23,29.922981,85,29922798,-185,69,4375
24,29.923383,86,29923200,-197,58,4352
25,29.923785,87,29923602,-197,58,4352
26,29.924181,88,29923998,-197,58,4352
27,29.924570,89,29924387,-194,76,4336
28,29.924969,90,29924786,-194,76,4336
29,29.925370,91,29925187,-180,99,4348
30,29.925772,92,29925589,-180,99,4348
31,29.926172,93,29925989,-180,99,4348
32,29.926565,94,29926382,-175,94,4371
33,29.926963,95,29926780,-175,94,4371
34,29.927364,96,29927181,-174,73,4387
35,29.927760,97,29927577,-174,73,4387
36,29.928165,98,29927982,-174,73,4387
37,29.928553,99,29928370,-188,80,4371
38,29.928943,100,29928760,-188,80,4371
39,29.929338,101,29929155,-205,77,4353
40,29.929740,102,29929557,-205,77,4353
41,29.930138,103,29929955,-205,77,4353
42,29.930540,104,29930357,-226,49,4347
43,29.930929,105,29930746,-226,49,4347
44,29.931322,106,29931139,-190,74,4354
45,29.931724,107,29931541,-190,74,4354
46,29.932128,108,29931945,-190,74,4354
47,29.932529,109,29932346,-212,65,4352
48,29.932918,110,29932735,-212,65,4352
49,29.933319,111,29933136,-227,46,4365
50,29.933717,112,29933534,-227,46,4365
51,29.934121,113,29933938,-227,46,4365
52,29.934517,114,29934334,-165,77,4403
53,29.934913,115,29934730,-165,77,4403
54,29.935310,116,29935127,-199,70,4383
55,29.935706,117,29935523,-199,70,4383
56,29.936104,118,29935921,-199,70,4383
57,29.936493,119,29936310,-230,76,4373
58,29.936895,120,29936712,-230,76,4373
59,29.937290,121,29937107,-186,90,4392
60,29.937692,122,29937509,-186,90,4392
61,29.938099,123,29937916,-186,90,4392
62,29.938493,124,29938310,-193,77,4387
63,29.938869,125,29938686,-193,77,4387
64,29.939275,126,29939092,-221,89,4365
65,29.939666,127,29939483,-221,89,4365
66,29.940074,128,29939891,-221,89,4365
67,29.940473,129,29940290,-214,85,4334
68,29.940881,130,29940698,-214,85,4334
69,29.941275,131,29941092,-230,74,4313
70,29.941681,132,29941498,-230,74,4313
71,29.942082,133,29941899,-230,74,4313
72,29.942487,134,29942304,-198,71,4287
73,29.942888,135,29942705,-198,71,4287
74,29.943290,136,29943107,-149,92,4315
75,29.943687,137,29943504,-149,92,4315
76,29.944082,138,29943899,-149,92,4315
77,29.944495,139,29944312,-212,89,4358
78,29.944891,140,29944708,-212,89,4358
79,29.945293,141,29945110,-212,47,4362
80,29.945697,142,29945514,-212,47,4362
81,29.946110,143,29945927,-212,47,4362
82,29.946505,144,29946322,-158,58,4339
83,29.946908,145,29946725,-158,58,4339
84,29.947302,146,29947119,-203,59,4337
85,29.947698,147,29947515,-203,59,4337
86,29.948104,148,29947921,-203,59,4337
87,29.948491,149,29948308,-209,70,4377
88,29.948887,150,29948704,-209,70,4377
89,29.949282,151,29949099,-177,103,4399
90,29.949670,152,29949487,-177,103,4399
91,29.950068,153,29949885,-177,103,4399
92,29.950483,154,29950300,-224,102,4415
93,29.950885,155,29950702,-224,102,4415
